,chunk_size,overlap,retrieved_chunks,recall,IOU,precision
0,100,0,1,43.2±42.0,18.9±19.9,21.9±22.3
1,200,0,1,44.7±45.5,11.7±13.9,12.5±14.9
2,400,0,1,50.2±47.4,6.7±7.6,6.9±7.8
3,800,0,1,49.6±48.4,3.6±4.2,3.7±4.2
4,400,200,1,52.8±46.2,7.3±7.5,7.5±7.7
5,800,400,1,58.9±46.7,4.2±4.0,4.2±4.0
6,100,0,5,72.2±36.2,7.8±5.4,8.0±5.5
7,200,0,5,85.2±32.0,4.9±3.2,4.9±3.2
8,400,0,5,91.2±25.5,2.7±1.7,2.7±1.7
9,800,0,5,92.5±25.4,1.4±0.9,1.4±0.9
10,400,200,5,89.6±28.0,2.6±1.7,2.6±1.7
11,800,400,5,94.9±19.0,1.4±0.8,1.4±0.8
12,100,0,10,82.4±30.8,4.7±3.0,4.8±3.0
13,200,0,10,94.8±17.4,2.8±1.6,2.8±1.6
14,400,0,10,99.2±8.5,1.5±0.8,1.5±0.8
15,800,0,10,98.9±9.5,0.8±0.4,0.8±0.4
16,400,200,10,98.9±9.1,1.5±0.8,1.5±0.8
17,800,400,10,99.3±8.3,0.7±0.4,0.7±0.4
